SolIndex,Name ,Country,Lang,Yr,Round,Rank,Problem,Size,hr,min,sec,Rqmts,,LOC,eLOC,Preprocessor,Macros,Paren,Brace,Bracket,FunCnt,FunAvgELOC,FunAvgIntrfc,FunAvgCyc
147,gawry,Poland,C++,2012,1B,601,Safety in Numbers,Small,1,13,9,,,55,50,12,1,41,5,6,2,17,1,4
148,gawry,Poland,C++,2012,1B,601,Safety in Numbers,Large,1,14,29,,,55,50,12,1,41,5,6,2,17,1,4
149,gawry,Poland,C++,2012,1B,601,"Tide Goes In, Tide Goes Out",Small,2,25,20,,,110,96,15,3,91,14,42,6,11.83,3.67,5
150,gawry,Poland,C++,2012,1B,601,"Tide Goes In, Tide Goes Out",Large,2,26,51,,,110,96,15,3,91,14,42,6,11.83,3.67,5
151,gawry,Poland,C++,2012,2,52,Swinging Wild,Small,,13,15,,,57,52,15,3,38,5,21,2,16.5,1,7
152,gawry,Poland,C++,2012,2,52,Swinging Wild,Large,,14,34,,,57,52,15,3,38,5,21,2,16.5,1,7
153,gawry,Poland,C++,2012,2,52,Aerobics,Small,1,53,52,,,79,70,14,2,59,9,37,4,13,1.5,5.25
154,gawry,Poland,C++,2012,2,52,Aerobics,Large,1,58,37,,,79,70,14,2,59,9,37,4,13,1.5,5.25
155,gawry,Poland,C++,2012,2,52,Mountain View,Small,1,0,24,,,75,67,14,2,58,10,30,3,16.33,2,6
156,gawry,Poland,C++,2012,2,52,Mountain View,Large,1,3,6,,,76,68,14,2,60,10,31,3,16.67,2,6.33
157,gawry,Poland,C++,2012,3,23,Perfect Game,Small,,15,52,,,53,49,13,1,41,4,21,3,10.67,2,3
158,gawry,Poland,C++,2012,3,23,Perfect Game,Large,,16,40,,,53,49,13,1,41,4,21,3,10.67,2,3
159,gawry,Poland,C++,2012,3,23,Quality Food,Small,1,46,11,,,66,60,13,1,50,6,12,2,20,1,7.5
160,gawry,Poland,C++,2012,3,23,Quality Food,Large,2,9,45,,,85,77,13,1,61,8,15,2,28,1,8
161,gawry,Poland,C++,2012,3,23,Lost Password,Small,,46,22,,,82,75,13,10,60,7,42,4,13.75,1.5,6.25
162,Dlougach,Russia,C++,2012,Qual,3093,Speaking in Tongues,Small,13,29,24,,,22,19,2,0,11,3,7,1,15,1,4
163,Dlougach,Russia,C++,2012,Qual,3093,Dancing With the Googlers,Small,13,54,44,,,51,41,3,0,21,12,30,1,37,1,15
164,Dlougach,Russia,C++,2012,Qual,3093,Dancing With the Googlers,Large,13,55,32,,,51,41,3,0,21,12,30,1,37,1,15
165,Dlougach,Russia,C++,2012,Qual,3093,Recycled Numbers,Small,14,9,35,,,33,28,3,0,9,5,0,1,24,1,8
166,Dlougach,Russia,C++,2012,Qual,3093,Recycled Numbers,Large,14,9,35,,,33,28,3,0,9,5,0,1,24,1,8
167,Dlougach,Russia,C++,2012,1B,25,Safety in Numbers,Small,,12,55,,,42,36,6,0,21,8,4,1,28,1,8
168,Dlougach,Russia,C++,2012,1B,25,Safety in Numbers,Large,,13,37,,,42,36,6,0,21,8,4,1,28,1,8
169,Dlougach,Russia,C++,2012,1B,25,"Tide Goes In, Tide Goes Out",Small,,48,33,,,74,63,5,0,38,13,38,2,28.5,2.5,9
170,Dlougach,Russia,C++,2012,1B,25,"Tide Goes In, Tide Goes Out",Large,,49,28,,,74,63,5,0,38,13,38,2,28.5,2.5,9
171,Dlougach,Russia,C++,2012,1B,25,Equal Sums,Small,1,1,35,,,55,45,6,0,25,11,11,1,38,1,13
172,Dlougach,Russia,C++,2012,1B,25,Equal Sums,Large,1,56,40,,,109,95,8,0,60,15,21,2,39,2.5,9
173,Dlougach,Russia,C++,2012,2,293,Swinging Wild,Small,2,22,21,,,42,36,4,0,30,6,8,1,31,1,10
174,Dlougach,Russia,C++,2012,2,293,Swinging Wild,Large,2,22,57,,,42,36,4,0,30,6,8,1,31,1,10
175,Dlougach,Russia,C++,2012,2,293,Mountain View,Small,1,52,49,,,52,46,4,0,24,7,9,2,17.5,4,5
176,Dlougach,Russia,C++,2012,2,293,Mountain View,Large,1,54,24,,,52,46,4,0,24,7,9,2,17.5,4,5
177,Dlougach,Russia,C++,2012,3,24,Perfect Game,Small,,27,11,,,33,26,3,0,12,7,4,2,10.5,2,3.5
178,Dlougach,Russia,C++,2012,3,24,Perfect Game,Large,,28,36,,,33,26,3,0,12,7,4,2,10.5,2,3.5
179,Dlougach,Russia,C++,2012,3,24,Quality Food,Small,1,35,5,,,100,85,3,0,60,17,10,6,12.5,2.83,3.83
180,Dlougach,Russia,C++,2012,3,24,Quality Food,Large,1,35,37,,,100,85,3,0,60,17,10,6,12.5,2.83,3.83
181,Dlougach,Russia,C++,2012,3,24,Lost Password,Small,2,12,35,,,185,159,6,9,84,30,61,8,14.75,3.25,4.13
182,g201513,China,C++,2012,Qual,111,Speaking in Tongues,Small,15,14,9,,,21,18,1,0,12,3,9,1,13,1,4
183,g201513,China,C++,2012,Qual,111,Dancing With the Googlers,Small,15,37,1,,,23,19,1,0,13,4,0,1,17,1,8
184,g201513,China,C++,2012,Qual,111,Speaking in Tongues,Large,15,37,42,,,23,19,1,0,13,4,0,1,17,1,8
185,g201513,China,C++,2012,Qual,111,Recycled Numbers,Small,15,59,27,,,30,25,2,0,16,5,2,1,20,1,8
186,g201513,China,C++,2012,Qual,111,Recycled Numbers,Large,16,0,34,,,30,25,2,0,16,5,2,1,20,1,8
